Manufacturer,PartNumber,Type,InnerDiameter,OuterDiameter,Length
Semroc,LT-115180,BodyTube,0.028956,0.030988,0.4572
Semroc,LT-115220,BodyTube,0.028956,0.030988,0.5588
Semroc,LT-115300,BodyTube,0.028956,0.030988,0.762
Semroc,LT-12580,BodyTube,0.03175,0.034036,0.2032
Semroc,LT-125122,BodyTube,0.03175,0.034036,0.30988
Semroc,LT-125122S3,BodyTube,0.03175,0.034036,0.30988
Semroc,LT-125150,BodyTube,0.03175,0.034036,0.381
Semroc,LT-125150S4,BodyTube,0.03175,0.034036,0.381
Semroc,LT-125157S4,BodyTube,0.03175,0.034036,0.39878
Semroc,LT-125220,BodyTube,0.03175,0.034036,0.5588
Semroc,LT-125220S4,BodyTube,0.03175,0.034036,0.5588
Semroc,LT-125300,BodyTube,0.03175,0.034036,0.762
Semroc,LT-15080,BodyTube,0.0381,0.040386,0.2032
Semroc,LT-150220,BodyTube,0.0381,0.040386,0.5588
Semroc,LT-150300,BodyTube,0.0381,0.040386,0.762
Semroc,LT-150300S3,BodyTube,0.0381,0.040386,0.762
Semroc,LT-17555,BodyTube,0.04445,0.046736,0.1397
Semroc,LT-17560,BodyTube,0.04445,0.046736,0.1524
Semroc,LT-17580,BodyTube,0.04445,0.046736,0.2032
Semroc,LT-175120,BodyTube,0.04445,0.046736,0.3048
Semroc,LT-175165,BodyTube,0.04445,0.046736,0.4191
Semroc,LT-175200,BodyTube,0.04445,0.046736,0.508
Semroc,LT-175200S4,BodyTube,0.04445,0.046736,0.508
Semroc,LT-175220,BodyTube,0.04445,0.046736,0.5588
Semroc,LT-175220S3,BodyTube,0.04445,0.046736,0.5588
Semroc,LT-175220S4,BodyTube,0.04445,0.046736,0.5588
Semroc,LT-175300,BodyTube,0.04445,0.046736,0.762
Semroc,LT-20080,BodyTube,0.0508,0.052832,0.2032
Semroc,LT-200215,BodyTube,0.0508,0.052832,0.5461
Semroc,LT-200220,BodyTube,0.0508,0.052832,0.5588
Semroc,LT-200300,BodyTube,0.0508,0.052832,0.762
Semroc,LT-22560,BodyTube,0.05715,0.059436,0.1524
Semroc,LT-22570,BodyTube,0.05715,0.059436,0.1778
Semroc,LT-22580,BodyTube,0.05715,0.059436,0.2032
Semroc,LT-225140,BodyTube,0.05715,0.059436,0.3556
Semroc,LT-225140S4,BodyTube,0.05715,0.059436,0.3556
Semroc,LT-225159S4,BodyTube,0.05715,0.059436,0.40386
Semroc,LT-225187S3,BodyTube,0.05715,0.059436,0.47498
Semroc,LT-225220,BodyTube,0.05715,0.059436,0.5588
Semroc,LT-225220S3,BodyTube,0.05715,0.059436,0.5588
Semroc,LT-225290S3,BodyTube,0.05715,0.059436,0.7366
Semroc,LT-225300,BodyTube,0.05715,0.059436,0.762
Semroc,LT-225300S3,BodyTube,0.05715,0.059436,0.762
Semroc,LT-225300S3L,BodyTube,0.05715,0.059436,0.762
Semroc,LT-27580,BodyTube,0.06985,0.072136,0.2032
Semroc,LT-275220,BodyTube,0.06985,0.072136,0.5588
Semroc,LT-275300,BodyTube,0.06985,0.072136,0.762
Semroc,CPT-719,BodyTube,0.018161,0.019279,0.0475
Semroc,CPT-722,BodyTube,0.018161,0.019279,0.05715
Semroc,CPT-7180,BodyTube,0.018161,0.019279,0.4572
Semroc,CPT-825,BodyTube,0.021971,0.023063,0.0635
Semroc,CPT-835,BodyTube,0.021971,0.023063,0.0889
Semroc,CPT-8180,BodyTube,0.021971,0.023063,0.4572
Semroc,PST-50,BodyTube,0.02413,0.02479,0.4572
Semroc,PST-50S,BodyTube,0.02413,0.02479,0.1016
Semroc,PST-50FJ,BodyTube,0.02413,0.02479,0.1524
Semroc,PST-55,BodyTube,0.032588,0.033655,0.3048
Semroc,PST-55-180,BodyTube,0.032588,45.72,45.72
