Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Material,Material,Material,Material,Material,Material,Material,Material,Material,Material,Material
Public Missiles,PML LL-25,"1/4"" brass launch lug",in.,0.225,0.25,12,Brass,0.7,0.058,,,,,,,,,
Public Missiles,PML LL-38,"3/8"" brass launch lug",in.,0.3375,0.375,12,Brass,1.1,0.092,,,,,,,,,
Public Missiles,PML LL-50,"1/2"" brass launch lug",in.,0.45,0.5,12,Brass,1.3,0.108,,,,,,,,,
Public Missiles,PML LL-75,"3/4"" copper launch lug",in.,0.675,0.75,12,Copper (rolled),4.7,0.392,,,,,,,,,
