Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Mass
Giant Leap,NC-2.56,2.56 in. Nosecone,mm,228.60000000000002,65.024000000000001,0.,0.,0.,1.778,ogive,hollow,Polycarbonate,0.,g,0.,55.880000000000003
Giant Leap,NC-3.00,3.00 in. Nosecone,mm,285.75,76.200000000000003,0.,0.,0.,1.778,ogive,hollow,Polycarbonate,0.,g,0.,76.200000000000003
Giant Leap,NC-38,38mm Nosecone,mm,203.20000000000002,38.,0.,0.,0.,4.318000000000001,ogive,hollow,Polycarbonate,0.,g,0.,44.450000000000003
Giant Leap,NC-54,54mm Nosecone,mm,279.40000000000003,54.,0.,0.,0.,2.286,ogive,hollow,Polycarbonate,0.,g,0.,76.200000000000003
Giant Leap,NC-3.90,3.90 in. Nosecone,mm,419.10000000000002,99.060000000000002,0.,0.,0.,2.032,ogive,hollow,Polycarbonate,0.,g,0.,83.820000000000007
