Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Public Missiles Ltd.,PML CT-1.52,Coupler tube,in.,1.401,1.525,3,Kraft phenolic,oz.,0.3,,,,,,,,,
Public Missiles Ltd.,PML CT-2.15,Coupler tube,in.,2.028,2.152,4,Kraft phenolic,oz.,0.7,,,,,,,,,
Public Missiles Ltd.,PML CT-2.56,Coupler tube,in.,2.436,2.56,5,Kraft phenolic,oz.,1.1,,,,,,,,,
Public Missiles Ltd.,PML CT-3.00,Coupler tube,in.,2.878,3.002,5,Kraft phenolic,oz.,1.3,,,,,,,,,
Public Missiles Ltd.,PML CT-3.90,Coupler tube,in.,3.776,3.9,7,Kraft phenolic,oz.,2.6,,,,,,,,,
Public Missiles Ltd.,PML CT-6.00,Coupler tube,in.,5.859,6.007,12,Kraft phenolic,oz.,5.4,,,,,,,,,
Public Missiles Ltd.,PML CT-7.51,Coupler tube,in.,7.352,7.512,12,Kraft phenolic,oz.,15.4,,,,,,,,,
Public Missiles Ltd.,PML CT-11.4,Coupler tube,in.,11.16,11.41,16,Kraft phenolic,oz.,30.3,,,,,,,,,
