Manufacturer,PartNo,Description,Type,ForeShoulderLength,ForeShoulderDiameter,ForeOuterDiameter,Length,OuterDiameter,ShoulderLength,ShoulderDiameter,Filled,Material,Mass,Shape
Semroc,BR-78,Balsa Reducer 7 to 8,TRANSITION,0.0127,0.018161,0.0192786,0.022225,0.0230632,0.0127,0.021971,1,Balsa,0.0036855,cone
Semroc,BR-78 [R],Balsa Reducer 7 to 8 – Reversed,TRANSITION,0.0127,0.021971,0.0230632,0.022225,0.0192786,0.0127,0.018161,1,Balsa,0.0036855,cone
Semroc,BR-78F,Balsa Reducer 7 to 8F,TRANSITION,0.0127,0.018161,0.0192786,0.0254,0.0233934,0.0127,0.022479,1,Balsa,0.0048195,cone
Semroc,BR-78F [R],Balsa Reducer 7 to 8F – Reversed,TRANSITION,0.0127,0.022479,0.0233934,0.0254,0.0192786,0.0127,0.018161,1,Balsa,0.0048195,cone
Semroc,BR-78S,Balsa Reducer 7 to 8,TRANSITION,0.0127,0.018161,0.0192786,0.0127,0.0230632,0.0127,0.021971,1,Balsa,0.002835,cone
Semroc,BR-78S [R],Balsa Reducer 7 to 8 – Reversed,TRANSITION,0.0127,0.021971,0.0230632,0.0127,0.0192786,0.0127,0.018161,1,Balsa,0.002835,cone
Semroc,BR-79,Balsa Reducer 7 to 9,TRANSITION,0.0127,0.018161,0.0192786,0.0254,0.0253492,0.0127,0.02413,1,Balsa,0.0048195,cone
Semroc,BR-79 [R],Balsa Reducer 7 to 9 – Reversed,TRANSITION,0.0127,0.02413,0.0253492,0.0254,0.0192786,0.0127,0.018161,1,Balsa,0.0048195,cone
Semroc,BR-79L,Balsa Reducer 7 to 9,TRANSITION,0.0127,0.018161,0.0192786,0.0508,0.0253492,0.0127,0.02413,1,Balsa,0.0065205,cone
Semroc,BR-79L [R],Balsa Reducer 7 to 9 – Reversed,TRANSITION,0.0127,0.02413,0.0253492,0.0508,0.0192786,0.0127,0.018161,1,Balsa,0.0065205,cone
Semroc,BR-810,Balsa Reducer 8 to 10,TRANSITION,0.0127,0.021971,0.0230632,0.0127,0.026416,0.0127,0.0254,1,Balsa,0.003969,cone
Semroc,BR-810 [R],Balsa Reducer 8 to 10 – Reversed,TRANSITION,0.0127,0.0254,0.026416,0.0127,0.0230632,0.0127,0.021971,1,Balsa,0.003969,cone
Semroc,BR-813,Balsa Reducer 8 to 13,TRANSITION,0.0127,0.021971,0.0230632,0.04318,0.034036,0.0127,0.03302,1,Balsa,0.007371,cone
Semroc,BR-813 [R],Balsa Reducer 8 to 13 – Reversed,TRANSITION,0.0127,0.03302,0.034036,0.04318,0.0230632,0.0127,0.021971,1,Balsa,0.007371,cone
Semroc,BR-813P,Balsa Reducer 8 to 13,TRANSITION,0.0127,0.021971,0.0230632,0.0381,0.034036,0.0127,0.03302,1,Balsa,0.007371,cone
Semroc,BR-813P [R],Balsa Reducer 8 to 13 – Reversed,TRANSITION,0.0127,0.03302,0.034036,0.0381,0.0230632,0.0127,0.021971,1,Balsa,0.007371,cone
Semroc,BR-816,Balsa Reducer 8 to 16,TRANSITION,0.0127,0.021971,0.0230632,0.0381,0.041656,0.0127,0.04064,1,Balsa,0.008505,cone
Semroc,BR-816 [R],Balsa Reducer 8 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.0381,0.0230632,0.0127,0.021971,1,Balsa,0.008505,cone
Semroc,BR-816NT,Balsa Reducer 8 to 16,TRANSITION,0.0127,0.021971,0.0230632,0.04318,0.041656,0.0127,0.04064,1,Balsa,0.010773,cone
Semroc,BR-816NT [R],Balsa Reducer 8 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.04318,0.0230632,0.0127,0.021971,1,Balsa,0.010773,cone
Semroc,BR-8F11,Balsa Reducer 8F to 11,TRANSITION,0.0127,0.022479,0.0233934,0.0254,0.029718,0.0127,0.028702,1,Balsa,0.005103,cone
Semroc,BR-8F11 [R],Balsa Reducer 8F to 11 – Reversed,TRANSITION,0.0127,0.028702,0.029718,0.0254,0.0233934,0.0127,0.022479,1,Balsa,0.005103,cone
Semroc,BR-8F11L,Balsa Reducer 8F to 11,TRANSITION,0.0127,0.022479,0.0233934,0.0381,0.029718,0.0127,0.028702,1,Balsa,0.006237,cone
Semroc,BR-8F11L [R],Balsa Reducer 8F to 11 – Reversed,TRANSITION,0.0127,0.028702,0.029718,0.0381,0.0233934,0.0127,0.022479,1,Balsa,0.006237,cone
Semroc,BR-916,Balsa Reducer 9 to 16,TRANSITION,0.0127,0.02413,0.0253492,0.0508,0.041656,0.0127,0.04064,1,Balsa,0.008505,cone
Semroc,BR-916 [R],Balsa Reducer 9 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.0508,0.0253492,0.0127,0.02413,1,Balsa,0.008505,cone
