Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize
BalsaMachining.com,BHT70-F,2.175x.05thk fiber bulkhead,in.,0,2.175,.05,Fiber,0,g,0,1
BalsaMachining.com,BHT70-W,2.175x.125thk lite-ply bulkhead,in.,0,2.175,.125,lite ply,0,g,0,1
BalsaMachining.com,BHC70-F,2.104x.05thk fiber bulkhead,in.,0,2.178,.05,Fiber,0,g,0,1
BalsaMachining.com,BHC70-W,2.104x.125thk lite-ply bulkhead,in.,0,2.178,.125,lite ply,0,g,0,1
BalsaMachining.com,BHT80-F,2.558x.05thk fiber bulkhead,in.,0,2.558,.05,Fiber,0,g,0,1
BalsaMachining.com,BHT80-W,2.558x.125 lite-ply bulkhead,in.,0,2.558,.125,lite ply,0,g,0,
BalsaMachining.com,BHC80-F,2.474x.05thk fiber bulkhead,in.,0,2.556,.05,Fiber,0,g,0,1
BalsaMachining.com,BHC80-W,2.474x.125thk lite-ply bulkhead,in.,0,2.556,.125,lite ply,0,g,0,1
