Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Performance Rocketry,Carbon Fiber FW Airframe,24mm Airframe/48in,in,0.945,1.045,48,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,29mm Airframe/60in,in,1.145,1.255,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,38mm Airframe/60in,in,1.52,1.645,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,54mm Airframe/60in,in,2.152,2.277,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,3 in Airframe (76mm)/60in,in,3,3.125,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,4 in Airframe (98mm)/60in,in,3.9,4.025,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,4.1 in Airframe/60in,in,4,4.125,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,4.5 in Airframe/60in,in,4.375,4.5,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,5 in Airframe/60in,in,5,5.15,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,5.5 in Airframe/60in,in,5.375,5.525,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,6 in Airframe/60in,in,6.04,6.21,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,7.5 in Airframe/60in,in,7.518,7.708,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,8 in Airframe/60in,in,7.815,8.005,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Carbon Fiber FW Airframe,8.25 in Airframe/60in,in,8,8.25,60,Carbon Fiber,,g,0,,,,,,,,,,,,,,,,,,,
