Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len
Performance Rocketry,4 in,Fiberglass Conical 5:1,in,20,4.125,0,3,4,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4 in,Fiberglass Conical 6:1,in,24,4.125,0,3,4,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4 in,Fiberglass Elliptical,in,6,4.125,0,3,4,0.125,elliptical,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4 in,Fiberglass Sidewinder,in,8.3,4.125,0,3,4,0.125,elliptical,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4 in,Fiberglass Pershing,in,19.3,4.125,0,3,4,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4 in,Fiberglass Von Karman 5:1,in,20,4.125,0,3,4,0.125,sh,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4.5 in,Fiberglass Ogive 3:1,in,13.55,4.5,0,3,4.375,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,4.5 in,Fiberglass Arcas,in,18,4.5,0,3,4.375,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,5 in,Fiberglass Ogive 3:1,in,15,5.15,0,3.5,5,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,5 in,Fiberglass Ogive 5:1,in,25,5.15,0,3.5,5,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,5.5 in,Fiberglass Conical 5:1,in,27.75,5.525,0,5,5.375,0.188,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,5.5 in,Fiberglass Nike Smoke,in,30.9,6.275,0,6,5.375,0.188,cone,hollow,G10 Fiberglass,,oz,0,1.5,,,,,,,,,,,,,
Performance Rocketry,5.5 in,Fiberglass Elliptical,in,7.75,5.525,0,5,5.375,0.188,elliptical,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,6 in,Fiberglass Ogive 3:1,in,19,6.17,0,3.5,6,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,6 in,Fiberglass Ogive 5:1,in,31.5,6.17,0,3.5,6,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,6 in,Fiberglass Conical 5:1,in,31,6.17,0,3.5,6,0.188,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,6 in,Fiberglass Elliptical,in,9,6.17,0,3.5,6,0.188,elliptical,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,7 in,Fiberglass Amraam Missle,in,19,7,0,5,6.81,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,7.5 in,Fiberglass Ogive 3:1,in,22.9,7.708,0,5,7.518,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,7.5 in,Fiberglass Ogive 5:1,in,38.25,7.708,0,5,7.518,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,7.5 in,Fiberglass Conical 4:1,in,30.5,7.708,0,5,7.518,0.188,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,7.5 in,Fiberglass Conical 5:1,in,39,7.708,0,5,7.518,0.188,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,7.5 in,Fiberglass Elliptical,in,11.5,7.708,0,5,7.518,0.188,elliptical,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,8 in,Fiberglass Ogive 5:1,in,32.5,8.005,0,5,7.815,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,8.25 in,Fiberglass Nike Smoke 6:1,in,46.75,9.75,0,5,8,0.188,cone,hollow,G10 Fiberglass,,oz,0,2.25,,,,,,,,,,,,,
Performance Rocketry,9 in,Fiberglass Ogive 3:1,in,28,9.25,0,5,9,0.188,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
