Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize
Performance Rocketry,Std. G10 Fiberglass Coupler,4.5 Inch Coupler/9in,in,4.25,4.373,9,G10 Fiberglass,4.5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,5 Inch Coupler/10in,in,4.815,4.998,10,G10 Fiberglass,5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,5 Inch Coupler Long/12in,in,4.815,4.998,12,G10 Fiberglass,6,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,5.5 Inch Coupler/12in,in,5.18,5.373,12,G10 Fiberglass,6,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,6 Inch Coupler/12in,in,5.775,5.998,12,G10 Fiberglass,6,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,6 Inch Coupler Long/18in,in,5.775,5.998,18,G10 Fiberglass,9,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,7 Inch Coupler/16in,in,6.5,6.808,16,G10 Fiberglass,8,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,7.5 Inch Coupler/16in,in,7.33,7.516,16,G10 Fiberglass,8,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,8 Inch Coupler/16in,in,7.518,7.813,16,G10 Fiberglass,8,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,8.25 Inch Coupler/16in,in,7.815,7.998,16,G10 Fiberglass,8,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,9 Inch Coupler/16in,in,8.75,8.998,16,G10 Fiberglass,8,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,11.5 Inch Coupler/24in,in,11.15,11.415,24,G10 Fiberglass,12,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,G12 Fiberglass FW Coupler,.94in Coupler/4in,in,0.75,0.943,4,G12 Fiberglass,2,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,G12 Fiberglass FW Coupler,1.14in Coupler/4in,in,1,1.143,4,G12 Fiberglass,2,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
